,I,T,J,Pjt,Bi,Pr(j),Yit0,Yit1,Yit2
0,1,1,1,0.649646292998,-0.672444014599,0.293420007811,0,0,1
1,1,1,2,0.873489435721,-0.672444014599,0.252417149682,0,0,1
2,1,2,1,0.864941629066,-0.672444014599,0.275547474229,1,0,0
3,1,2,2,1.12387796677,-0.672444014599,0.231513860325,1,0,0
4,1,3,1,1.72354478883,-0.672444014599,0.152178757777,1,0,0
5,1,3,2,0.431250434246,-0.672444014599,0.362872477794,1,0,0
6,1,4,1,0.543296104807,-0.672444014599,0.338081999695,1,0,0
7,1,4,2,1.5247543395,-0.672444014599,0.17474237619,1,0,0
8,1,5,1,1.8129267732,-0.672444014599,0.173734678955,0,1,0
9,1,5,2,1.34282546238,-0.672444014599,0.238327580172,0,1,0
10,1,6,1,1.26388607117,-0.672444014599,0.223961081656,0,1,0
11,1,6,2,1.08784952628,-0.672444014599,0.252105339767,0,1,0
12,1,7,1,1.2697330718,-0.672444014599,0.210040374161,1,0,0
13,1,7,2,0.756270868155,-0.672444014599,0.296656337403,1,0,0
14,1,8,1,0.540180728247,-0.672444014599,0.300326774706,0,0,1
15,1,8,2,0.71060234842,-0.672444014599,0.267808489173,0,0,1
16,1,9,1,0.687078389734,-0.672444014599,0.285079485223,1,0,0
17,1,9,2,0.810245955645,-0.672444014599,0.262419598691,1,0,0
18,1,10,1,1.39053945171,-0.672444014599,0.20140046839,1,0,0
19,1,10,2,0.871310110383,-0.672444014599,0.285558801821,1,0,0
20,1,11,1,1.55178057843,-0.672444014599,0.188983707889,1,0,0
21,1,11,2,0.996799346707,-0.672444014599,0.274473472569,1,0,0
22,1,12,1,1.35866293656,-0.672444014599,0.213470328813,1,0,0
23,1,12,2,1.09854104859,-0.672444014599,0.254274719285,1,0,0
24,1,13,1,1.16494522385,-0.672444014599,0.21797586364,1,0,0
25,1,13,2,0.665796665784,-0.672444014599,0.304915228819,1,0,0
26,1,14,1,1.58982565658,-0.672444014599,0.185423136826,0,1,0
27,1,14,2,1.00640859414,-0.672444014599,0.274501232548,0,1,0
28,1,15,1,0.831662707512,-0.672444014599,0.258943753939,0,1,0
29,1,15,2,0.673137440796,-0.672444014599,0.288071939428,0,1,0
30,1,16,1,0.712920636228,-0.672444014599,0.29071291854,0,0,1
31,1,16,2,0.999511621255,-0.672444014599,0.239755547811,0,0,1
32,1,17,1,1.13941469909,-0.672444014599,0.228802818103,0,0,1
33,1,17,2,0.844900074778,-0.672444014599,0.278914469152,0,0,1
34,1,18,1,1.08892308663,-0.672444014599,0.223391379898,0,1,0
35,1,18,2,0.592044620776,-0.672444014599,0.312014059809,0,1,0
36,1,19,1,0.945255025353,-0.672444014599,0.268872866788,1,0,0
37,1,19,2,1.22052796018,-0.672444014599,0.223437786764,1,0,0
38,1,20,1,1.62699599196,-0.672444014599,0.176044543871,1,0,0
39,1,20,2,0.843154083855,-0.672444014599,0.298218623278,1,0,0
